Timestamp,Color Counts,Average Areas
2025-03-25 11:01:11.070281,"{'Blue': 10, 'White': 2, 'Black': 10}","{'Blue': 6179.0, 'White': 1974.25, 'Black': 5214.55}"
2025-03-25 11:01:11.085242,"{'Blue': 9, 'White': 2, 'Black': 11}","{'Blue': 7098.28, 'White': 1980.5, 'Black': 4133.27}"
2025-03-25 11:01:11.100224,"{'Blue': 9, 'White': 2, 'Black': 11}","{'Blue': 7098.28, 'White': 1980.5, 'Black': 4133.27}"
2025-03-25 11:01:11.122305,"{'Blue': 9, 'White': 2, 'Black': 11}","{'Blue': 7098.28, 'White': 1980.5, 'Black': 4133.27}"
2025-03-25 11:01:11.137215,"{'Blue': 8, 'White': 2, 'Black': 10}","{'Blue': 8609.06, 'White': 1996.5, 'Black': 4492.05}"
2025-03-25 11:01:11.153119,"{'Blue': 8, 'White': 2, 'Black': 10}","{'Blue': 8609.06, 'White': 1996.5, 'Black': 4492.05}"
2025-03-25 11:01:11.168233,"{'Blue': 8, 'White': 2, 'Black': 10}","{'Blue': 8609.06, 'White': 1996.5, 'Black': 4492.05}"
2025-03-25 11:01:11.183591,"{'Blue': 13, 'White': 2, 'Black': 11}","{'Blue': 6189.38, 'White': 1867.75, 'Black': 4090.73}"
2025-03-25 11:01:11.199866,"{'Blue': 13, 'White': 2, 'Black': 11}","{'Blue': 6189.38, 'White': 1867.75, 'Black': 4090.73}"
2025-03-25 11:01:11.216448,"{'Blue': 13, 'White': 2, 'Black': 11}","{'Blue': 6189.38, 'White': 1867.75, 'Black': 4090.73}"
2025-03-25 11:01:11.230060,"{'Blue': 9, 'White': 2, 'Black': 8}","{'Blue': 11113.61, 'White': 1219.25, 'Black': 5404.06}"
2025-03-25 11:01:11.245092,"{'Blue': 9, 'White': 2, 'Black': 8}","{'Blue': 11113.61, 'White': 1219.25, 'Black': 5404.06}"
